タイムスタンプ	メモっとくこと
2021/2/14 0:50	"感染症の日本史読んでる
あと暦本先生の本を読み終わった。
ダグラム面白い"
2021/2/14 21:21	"13時半くらいに起きる
熊胆に怒られる
千里中央でオシドリを見てスシロー。生活習慣の心配をされる"
2021/2/17 0:08	"HCI原稿を書いた
まだ頭が整理つかない。
岩本さんにマッチングアプリ勧めた

ダグラムめっちゃ面白い"
2021/2/19 2:13	"徹夜明け
HCI原稿がんばった"
2021/2/20 4:38	"学振について考える
ペットの存在感の遠隔表現、というのがいけるかもしれん"
2021/2/24 5:32	"夕方まで寝てた
"
2021/2/24 23:04	"久々にj212
ハイデマンらと研究方針を話し合う。たまには話した方がいいな。
三年間堂々巡りを続けている感じで、どんどんこざかしくなっている問題
いまやってることは自分の興味とは切り離して論文にしてしまおう。実験が終わったら自分の好きなことをやって博士に備える"
2021/2/26 2:21	"実験は焦らずいいのを一つ
アナゴ猫でとにかく一本書く　それで移籍"
2021/2/28 0:10	"竹長と如意ヶ岳登山
いい気分転換になった。カメラのバッテリー忘れたけど。
やはり研究室変更するんだと決意"
2021/2/28 23:52	"昼まで寝て千里川で鳥見
夜はClubhouseを初めてやって色々話した
"
2021/3/3 20:22	"昨日は早朝までなにもできず、ちょっと未踏の申請書を書いた
17時まで起きられなかった
今はよびじっけんのじゅんびちゅう"
2021/3/5 19:36	"発表前なのになにも出すものがない
非常にまずい"
2021/3/9 9:18	"昼夜逆転して日文研プログラムの準備
今日は電気学会の手伝い"
2021/3/11 14:13	
2021/3/12 2:50	"実験　プレゼン準備　プレゼン準備
どこに向かってるのか、先が見えない"
2021/3/13 5:15	アナゴネコの実験デザインに苦戦
2021/3/14 1:28	
2021/3/16 4:25	学会の準備
2021/3/17 1:00	"学会発表終わり
佐藤さんに進路について聞く。博士で耐えられなかった話
彼女と将来の話"
2021/3/21 18:24	和歌山出張終了　自然博物館でvirtualionのデモ、橘本神社でデータ収集、湯浅で化石採集
2021/3/25 23:48	"石黒研でD進しないことを伝え田村光平先生にメールする
考古学×文化進化か、動物の生態か…"
2021/3/29 0:40	"さわいに一日振り回された感じ
もう少し正直に行動した方がいい"
2021/4/9 20:39	"ここのところ割と元気
ﾋﾃﾞﾏﾝに会ったので気分悪くなった"
2021/4/15 19:00	ゆうたんと勝尾寺に行った
2021/4/23 12:33	"これは昨日のメモ。

石山寺で3Dデータ化など行う
朝の寺でキビタキ発見。

石山寺はめっちゃいいところ。石灰岩が削れているところ(水で自然に＋飛鳥時代の奈良の寺の礎石につかわれてた石切場)＆天然記念物の石山寺の珪灰石

多宝塔もかっこいい。"
2021/4/23 12:36	"これはここ数週の総括

・早寝早起きし始めた
・午前論文＋午後勉強＋散歩(早朝or夕方)というスケジュール
・論文ははかどっているような気がする(が、イントロは難しい)
・石黒研のうるさい人とはかかわりを減らす

・進路に色々悩んだ結果、マクロ生態学へ
　琉球大の久保田先生にメールを送ってインターンをさせてもらうことに

・やはり嫌なものから離れて好きなことをしたほうがいい。
"
5月10日	インターン@琉球大学初日　化石のデータで分析することに。共起パターンの解析をやるぞと意気込むがどうやっていいかわからず
5月11日	beta diversityを使った手法に切り替える。塩野さんいい人
5月12日	標本採集などをする。分析をすすめる。
5月13日	ゆうたんがやってくる。
5月14日	標本押しをやる。種同定難しい。ちまちま解析をすすめる。三枚葉のアカギやショウベンノキがわかってくる。
5月15日	ナゴパイナップルパーク＆ネオパークオキナワに行く。名護市のフクギ並木。途中で財布と鍵を落として家に入れなくなる。ゆうたんがホテル代を出してくれる。
5月16日	浦添市の観光。アカマシバル製陶所というところの焼き物を買う。具体みたいなデザインの陶器の茶碗。ゆうたんが大阪に帰る。
5月17日	beta多様性の分析をすすめる。緯度ごとの化石の多様性の距離減衰分析で面白そうな結果。オキナワキョウチクトウがわかってくる。
5月18日	久保田先生に沖縄北部に連れて行ってもらう。ヤンバルのスダジイ林、ヤンバルクイナ、ノグチゲラ。ウミガメはいなかったけどでかい魚が崖から見えた。辺野古周辺のマングローブ林。
5月19日	ぼちぼち解析をすすめる。emily&nakawakeとのミーティングなどやる。イスノキ、ホルトノキなどがわかってくる。
5月20日	地域を区切って解析。わりときれいな結果になる。この日はpythonで独自コードを書くなど大変頑張った
2021/5/21 22:27	"本日がインターン最終日
化石のデータでなんとなくよさそうな結果が出せてよかった。
解析の続きをして、論文にまとめていきく。

今後についてもいろいろ前向きな話ができてよかった。研究室の主婦の方々もいい人。鈴木さんもいい人。"
